taxid,contig_count,total_bp,Code,Name,Lineage,LineageTaxIDs,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
9606.0,16076319,15995586950,9606.0,Homo sapiens,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,2759;7711;40674;9443;9604;9605;9606,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606,no rank;superkingdom;clade;kingdom;clade;clade;clade;phylum;subphylum;clade;clade;clade;clade;superclass;clade;clade;clade;class;clade;clade;clade;superorder;order;suborder;infraorder;parvorder;superfamily;family;subfamily;genus;species
4097.0,24,3901734127,4097.0,Nicotiana tabacum,Eukaryota;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Nicotiana;Nicotiana tabacum,2759;35493;3398;4069;4070;4085;4097,species,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Nicotianoideae;Nicotianeae;Nicotiana;Nicotiana tabacum,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4069;4070;424554;424562;4085;4097,no rank;superkingdom;kingdom;phylum;subphylum;clade;clade;clade;clade;class;clade;clade;clade;clade;clade;clade;order;family;subfamily;tribe;genus;species
34504.0,30456,922849782,34504.0,Paragonimus westermani,Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Troglotrematidae;Paragonimus;Paragonimus westermani,2759;6157;6178;27871;34502;34503;34504,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Plagiorchiida;Troglotremata;Troglotrematidae;Paragonimus;Paragonimus westermani,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;27871;116925;34502;34503;34504,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;suborder;family;genus;species
562.0,567,529366522,562.0,Escherichia coli,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,2;1224;1236;91347;543;561;562,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,131567;2;1224;1236;91347;543;561;562,no rank;superkingdom;phylum;class;order;family;genus;species
6182.0,100,406576294,6182.0,Schistosoma japonicum,Eukaryota;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma japonicum,2759;6157;6178;6180;31245;6181;6182,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma japonicum,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6182,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;superfamily;family;genus;species
6185.0,163,400271889,6185.0,Schistosoma haematobium,Eukaryota;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma haematobium,2759;6157;6178;6180;31245;6181;6185,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma haematobium,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6185,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;superfamily;family;genus;species
51022.0,69981,332875813,51022.0,Ancylostoma duodenale,Eukaryota;Nematoda;Chromadorea;Rhabditida;Ancylostomatidae;Ancylostoma;Ancylostoma duodenale,2759;6231;119089;6236;33278;29169;51022,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Ancylostomatinae;Ancylostoma;Ancylostoma duodenale,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53469;29169;51022,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;subfamily;genus;species
6252.0,415,295967828,6252.0,Ascaris lumbricoides,Eukaryota;Nematoda;Chromadorea;Rhabditida;Ascarididae;Ascaris;Ascaris lumbricoides,2759;6231;119089;6236;6250;6251;6252,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Ascaris;Ascaris lumbricoides,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6274;6249;33256;6250;6251;6252,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;genus;species
573.0,252,268679294,573.0,Klebsiella pneumoniae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae,2;1224;1236;91347;543;570;573,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,131567;2;1224;1236;91347;543;2890311;570;573,no rank;superkingdom;phylum;class;order;family;no rank;genus;species
51031.0,38,234457255,51031.0,Necator americanus,Eukaryota;Nematoda;Chromadorea;Rhabditida;Ancylostomatidae;Necator;Necator americanus,2759;6231;119089;6236;33278;51030;51031,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Bunostominae;Necator;Necator americanus,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53477;51030;51031,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;subfamily;genus;species
