Taxa ID,Sequence count,Genus,Species
1002367,296,Leyella,Leyella stercorea
1006008,1,Enterovirus,Enterovirus A
1018,1,Capnocytophaga,Capnocytophaga ochracea
10244,2,Orthopoxvirus,Monkeypox virus
102684,1,Streptococcus,Streptococcus infantarius
102862,1,Proteus,Proteus penneri
10298,1,Simplexvirus,Simplexvirus humanalpha1
10310,1,Simplexvirus,Simplexvirus humanalpha2
10335,1,Varicellovirus,Varicellovirus humanalpha3
1033850,2,Enterovirus,Rhinovirus A
10359,1,Cytomegalovirus,Cytomegalovirus humanbeta5
10372,1,Roseolovirus,Roseolovirus humanbeta7
10376,1,Lymphocryptovirus,Lymphocryptovirus humangamma4
103855,1,Bordetella,Bordetella hinzii
1038927,8,Escherichia,Escherichia coli
103915,1,Enterovirus,Enterovirus B
1045010,3,Escherichia,Escherichia coli
10519,1,Mastadenovirus,Human mastadenovirus B
10522,1,Mastadenovirus,Human mastadenovirus B
10632,1,Betapolyomavirus,Betapolyomavirus secuhominis
106590,3,Cupriavidus,Cupriavidus necator
106654,2,Acinetobacter,Acinetobacter nosocomialis
1069220,138,Mycolicibacillus,Mycolicibacillus koreensis
10798,1,Erythroparvovirus,Erythroparvovirus primate1
108098,2,Mastadenovirus,Human mastadenovirus B
1081904,102,Hoylesella,Hoylesella pleuritidis
10891,1,,Reovirus sp.
108980,10,Acinetobacter,Acinetobacter ursingii
1095103,4,Pseudomonas,Pseudomonas syringae
109790,1,Lactobacillus,Lactobacillus jensenii
11041,1,Rubivirus,Rubivirus rubellae
110505,1,Mycobacterium,Mycobacterium heckeshornense
11137,1,Alphacoronavirus,Human coronavirus 229E
1115809,88,Segatella,Segatella baroniae
1117645,3,Elizabethkingia,Elizabethkingia anophelis
1121096,204,Bacteroides,Bacteroides gallinarum
1121097,64,Bacteroides,Bacteroides graminisolvens
1121099,144,Bacteroides,Bacteroides propionicifaciens
11216,2,Respirovirus,Respirovirus pneumoniae
11224,1,Orthorubulavirus,Orthorubulavirus hominis
1122978,88,Segatella,Segatella albensis
1122981,168,Prevotella,Prevotella corporis
1122983,184,Prevotella,Prevotella falsenii
1122985,62,Hoylesella,Hoylesella loescheii
1122990,122,Segatella,Segatella paludivivens
1122991,196,Hoylesella,Hoylesella shahii
1122993,56,Prevotella,Prevotella veroralis
11234,1,Morbillivirus,Morbillivirus hominis
11250,2,Orthopneumovirus,Orthopneumovirus hominis
1127699,142,Hoylesella,Hoylesella saccharolytica
1133319,110,Bacteroides,Bacteroides reticulotermitis
1134340,1,Enterovirus,Enterovirus C
1134687,10,Klebsiella,Klebsiella michiganensis
1141754,2,Enterovirus,Enterovirus D
11553,7,Gammainfluenzavirus,Gammainfluenzavirus influenzae
1159213,48,Peptostreptococcus,Peptostreptococcus canis
11676,1,Lentivirus,Human immunodeficiency virus 1
11709,1,Lentivirus,Human immunodeficiency virus 2
117567,4,Mycolicibacterium,Mycolicibacterium frederiksbergense
1177574,4,Prevotella,Prevotella jejuni
119219,4,Cupriavidus,Cupriavidus metallidurans
1197728,204,Prevotella,Prevotella conceptionensis
12060,15,Enterovirus,Enterovirus B
12062,44,Enterovirus,Enterovirus B
12063,1,Parechovirus,Parechovirus A
12067,23,Enterovirus,Enterovirus B
12069,16,Enterovirus,Enterovirus C
12071,9,Enterovirus,Enterovirus B
12072,47,Enterovirus,Enterovirus B
12073,22,Enterovirus,Enterovirus B
12074,94,Enterovirus,Enterovirus B
12078,96,Enterovirus,Enterovirus B
12080,169,Enterovirus,Enterovirus C
12082,1,Enterovirus,Enterovirus C
12083,623,Enterovirus,Enterovirus C
12086,227,Enterovirus,Enterovirus C
12089,60,Enterovirus,Enterovirus C
12090,2,Enterovirus,Enterovirus D
121226,1,Pediculus,Pediculus humanus
12130,9,Enterovirus,Rhinovirus A
12131,3,Enterovirus,Rhinovirus B
12132,2,Enterovirus,Rhinovirus A
12135,18,Enterovirus,Rhinovirus A
121791,1,,
1219376,15,Enterovirus,Rhinovirus C
1219377,37,Enterovirus,Rhinovirus C
1219378,2,Enterovirus,Rhinovirus C
1219379,5,Enterovirus,Rhinovirus C
1219380,7,Enterovirus,Rhinovirus C
1219381,133,Enterovirus,Rhinovirus A
1219404,47,Enterovirus,Rhinovirus C
1219405,1,Enterovirus,Rhinovirus C
1219406,4,Enterovirus,Rhinovirus C
1219407,17,Enterovirus,Rhinovirus C
1219413,5,Enterovirus,Rhinovirus C
1219416,13,Enterovirus,Rhinovirus C
1219419,1,Enterovirus,Rhinovirus C
1220265,4,Enterovirus,Rhinovirus C
12242,1,Tobamovirus,Tobacco mosaic virus
1236508,296,Prevotella,Prevotella aurantiaca
1236509,82,Prevotella,Prevotella dentasini
1236512,296,Bacteroides,Bacteroides rodentium
1236517,4,Prevotella,Prevotella fusca
1236518,6,Prevotella,Prevotella scopos
1240004,50,Enterovirus,Rhinovirus C
12425,1,,Phage 16
1245,2,Leuconostoc,Leuconostoc mesenteroides
1248136,1,Enterovirus,Enterovirus B
1249,1,Weissella,Weissella paramesenteroides
12509,1,Lymphocryptovirus,Lymphocryptovirus humangamma4
1254,3,Pediococcus,Pediococcus acidilactici
1255,12,Pediococcus,Pediococcus pentosaceus
1258,3,Peptoniphilus,Peptoniphilus asaccharolyticus
1260,1,Finegoldia,Finegoldia magna
1260918,35,Mycobacterium,Mycobacterium fragae
1261,10,Peptostreptococcus,Peptostreptococcus anaerobius
126385,1,Providencia,Providencia alcalifaciens
1270,3,Micrococcus,Micrococcus luteus
12730,1,Respirovirus,Respirovirus laryngotracheitidis
1273442,2,Mycobacterium,Mycobacterium bourgelatii
1274,1,Dermacoccus,Dermacoccus nishinomiyaensis
1276,2,Kytococcus,Kytococcus sedentarius
