taxid,contig_count,total_bp,Name,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
9606.0,16076319,15995586950,Homo sapiens,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606,no rank;superkingdom;clade;kingdom;clade;clade;clade;phylum;subphylum;clade;clade;clade;clade;superclass;clade;clade;clade;class;clade;clade;clade;superorder;order;suborder;infraorder;parvorder;superfamily;family;subfamily;genus;species
4097.0,24,3901734127,Nicotiana tabacum,species,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Nicotianoideae;Nicotianeae;Nicotiana;Nicotiana tabacum,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4069;4070;424554;424562;4085;4097,no rank;superkingdom;kingdom;phylum;subphylum;clade;clade;clade;clade;class;clade;clade;clade;clade;clade;clade;order;family;subfamily;tribe;genus;species
34504.0,30456,922849782,Paragonimus westermani,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Plagiorchiida;Troglotremata;Troglotrematidae;Paragonimus;Paragonimus westermani,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;27871;116925;34502;34503;34504,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;suborder;family;genus;species
562.0,567,529366522,Escherichia coli,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,131567;2;1224;1236;91347;543;561;562,no rank;superkingdom;phylum;class;order;family;genus;species
6182.0,100,406576294,Schistosoma japonicum,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma japonicum,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6182,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;superfamily;family;genus;species
6185.0,163,400271889,Schistosoma haematobium,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma haematobium,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6185,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;superfamily;family;genus;species
51022.0,69981,332875813,Ancylostoma duodenale,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Ancylostomatinae;Ancylostoma;Ancylostoma duodenale,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53469;29169;51022,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;subfamily;genus;species
6252.0,415,295967828,Ascaris lumbricoides,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Ascaris;Ascaris lumbricoides,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6274;6249;33256;6250;6251;6252,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;genus;species
573.0,252,268679294,Klebsiella pneumoniae,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,131567;2;1224;1236;91347;543;2890311;570;573,no rank;superkingdom;phylum;class;order;family;no rank;genus;species
51031.0,38,234457255,Necator americanus,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Bunostominae;Necator;Necator americanus,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53477;51030;51031,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;subfamily;genus;species
1280.0,230,188665820,Staphylococcus aureus,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,131567;2;1783272;1239;91061;1385;90964;1279;1280,no rank;superkingdom;clade;phylum;class;order;family;genus;species
6211.0,1217,114963228,Echinococcus multilocularis,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Cyclophyllidea;Taeniidae;Echinococcus;Echinococcus multilocularis,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6199;6200;6201;6208;6209;6211,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;family;genus;species
6210.0,957,110837706,Echinococcus granulosus,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Cyclophyllidea;Taeniidae;Echinococcus;Echinococcus granulosus group;Echinococcus granulosus,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6199;6200;6201;6208;6209;2212966;6210,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass;order;family;genus;species group;species
28901.0,45,101281735,Salmonella enterica,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,131567;2;1224;1236;91347;543;590;28901,no rank;superkingdom;phylum;class;order;family;genus;species
5661.0,163,99910120,Leishmania donovani,species,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Leishmaniinae;Leishmania;Leishmania;Leishmania donovani species complex;Leishmania donovani,131567;2759;2611352;33682;5653;2704647;2704949;5654;1286322;5658;38568;38574;5661,no rank;superkingdom;clade;phylum;class;subclass;order;family;subfamily;genus;subgenus;species group;species
5693.0,29495,89937456,Trypanosoma cruzi,species,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Trypanosoma;Schizotrypanum;Trypanosoma cruzi,131567;2759;2611352;33682;5653;2704647;2704949;5654;5690;47570;5693,no rank;superkingdom;clade;phylum;class;subclass;order;family;genus;subgenus;species
6293.0,705,88416250,Wuchereria bancrofti,species,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Wuchereria;Wuchereria bancrofti,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6274;2072716;6295;6296;6292;6293,no rank;superkingdom;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;genus;species
